number,eps_temp,eps_exp,eps_opls,eps_gaff,st_temp,st_exp,st_opls,st_gaff,solvent,MW,den_temp,den_exp,den_opls,den_gaff,vap_temp,vap_exp,vap_opls,vap_gaff,cmp_temp,cmp_exp,cmp_opls,cmp_gaff,therex_temp,therex_exp,therex_opls,therex_gaff,cp_temp,cp_exp,cp_opls,cp_gaff,cv_temp,cv_exp,cv_opls,cv_gaff
1,298.15,4.71,3.3,,298.15,26.67,11.8,11.7,chloroform,119.378,298.15,1479.3,1373.2,1375,298.15,31.28,29.2,28.42,298.15,1.03,2.16,1.79,298.15,1.29,2.28,1.91,298.15,116.98,94.3,94.2,298.15,117,94.4,94.2
2,282.05,5.3,2.4,5.6,300,17.6,7.2,9.8,dichloro(fluoro)methane,102.923,282.05,1399.17,1314,1308,282.05,24.95,21.92,23.86,282.05,,2.82,2.56,282.05,1.66,2.56,2.48,282.05,,78.9,80.7,282.05,107.07,78.9,80.7
3,298.15,7.23,5.1,,298.15,39.05,25.1,13.3,dibromomethane,173.835,298.15,2490.7,2475.3,1946.1,298.15,37.45,34.17,28.55,298.15,0.7,0.91,1.45,298.15,1.02,1.44,1.48,298.15,104.88,81.2,83.1,298.15,104.9,81.2,83.1
4,298.15,8.82,4.2,9.8,298.15,27.2,10.5,15.7,dichloromethane,84.9325,298.15,1394.3,1200.4,1258.1,298.15,28.82,23.36,26.48,298.15,1.03,2.22,1.47,298.15,1.35,2.31,1.73,298.15,100.86,70.3,76.9,298.15,100.88,70.4,76.9
5,253.65,37.2,37.2,37.2,253.65,25.91,22.6,23,methanal,30.0259,253.65,810.53,773,835.7,253.65,23.08,24.08,24.79,253.65,,1.15,1.15,253.65,2.11,1.88,1.96,253.65,,57.1,50.9,253.65,79.78,57.1,50.9
6,298.15,51.1,7.8,,298.15,37.13,32,66.9,methanoic^acid,46.0253,298.15,1214.5,1136.8,1371,298.15,19.9,42.48,65.46,298.15,0.65,0.54,0.24,298.15,1.02,1.05,0.58,298.15,98.99,79.5,74.8,298.15,99,79.5,74.8
7,276.65,14.3,14.3,7.2,276.65,27.18,21.1,8.7,bromomethane,94.9384,276.65,1721.95,1803.5,1400.7,298.15,27.07,25.16,18.48,276.65,,1.14,2.84,276.65,1.53,1.75,2.39,276.65,,59.2,,276.65,78.75,59.2,
8,298.15,108.94,108.94,41.1,298.15,57.03,53.1,58.4,methanamide,45.0405,298.15,1128.8,1122.1,1218.5,298.15,60.57,59.76,62.15,298.15,0.4,0.36,0.29,298.15,0.75,0.8,0.75,298.15,107.59,87.1,83,298.15,107.6,87.1,83
9,298.15,36.56,25.8,30.8,298.15,36.53,29.2,55.2,nitromethane,61.0399,298.15,1130.4,1103.4,1226.9,298.15,38.62,38.07,55.31,298.15,0.72,0.77,0.31,298.15,1.22,1.31,0.92,298.15,105.78,96.6,101.9,298.15,105.8,96.6,101.9
10,298.15,31.92,24.7,25.5,298.15,22.07,20.1,20.6,methanol,32.0417,298.15,787.2,776.8,807.5,298.15,37.43,36.44,39.62,298.15,1.25,1.08,1.02,298.15,1.19,1.53,1.41,298.15,81.46,75.8,73.4,298.15,81.47,75.8,73.4
11,293.15,3.79,2.1,2.5,298.15,34.7,34.7,,1*1*1*2*2-pentachloroethane,202.294,293.15,1679.6,1681.7,1669.2,293.15,46.29,47.53,46.74,293.15,,0.77,0.71,293.15,0.86,1.14,1.01,293.15,,154.8,154.6,293.15,173.96,154.8,154.6
12,298.15,7.91,3.6,2.9,298.15,35.58,24.5,22.1,1*1*2*2-tetrachloroethane,167.849,298.15,1586.5,1550.6,1538.1,298.15,45.71,42.94,41.62,298.15,0.62,0.84,0.83,298.15,0.97,1.19,1.05,298.15,165.67,135.3,139.7,298.15,165.7,135.4,139.7
13,298.15,3.7,3.7,4.1,298.15,21.66,15.7,9.8,1*1-dichloroethene,96.9432,298.15,1214.9,1176.6,1053.8,298.15,26.48,26.85,22.87,298.15,,2.13,3.88,298.15,1.5,2.23,2.9,298.15,,86.6,81.8,298.15,111.33,86.7,81.8
14,298.15,7.19,6.1,6.4,298.15,34.02,25,23.1,1*1*2-trichloroethane,133.404,298.15,1431.4,1424.9,1408.8,298.15,40.28,39.64,39.22,298.15,0.75,0.8,0.91,298.15,1,1.17,1.35,298.15,148.48,119.7,122.6,298.15,148.5,119.7,122.6
15,298.15,35.69,20.4,23.7,298.15,28.66,16.6,21.6,acetonitrile,41.0518,298.15,776,755.1,729.6,298.15,33.23,30.42,32.6,298.15,1.07,1.62,1.18,298.15,1.38,1.92,1.59,298.15,91.38,58.1,74.7,298.15,91.4,58.2,74.7
16,298.15,4.93,20.8,5.7,298.15,39.55,38,17.9,1*2-dibromoethane,187.861,298.15,2169.3,2336.3,1807.5,298.15,41.73,48.83,34.71,298.15,0.64,0.54,1.17,298.15,0.94,1.06,1.42,298.15,135.98,112.6,105,298.15,136,112.6,105.1
17,298.15,10.1,3.2,10,298.15,24.07,15.1,17.1,1*1-dichloroethane,98.959,298.15,1168.4,1166.6,1163.9,298.15,30.62,28.29,31.73,298.15,1.15,1.33,1.26,298.15,1.33,1.6,1.46,298.15,126.18,103.7,106.9,298.15,126.2,103.8,106.9
18,298.15,10.13,13.4,19.8,298.15,31.86,23.2,24.4,1*2-dichloroethane,98.959,298.15,1246.3,1236.8,1235.3,298.15,35.16,35.08,36.99,298.15,0.82,0.95,0.86,298.15,1.15,1.43,1.25,298.15,128.88,106.5,104.4,298.15,128.9,106.6,104.4
19,298.15,8.84,5.4,,298.15,24.36,20.8,32.3,methyl^formate,60.0518,298.15,967,952,1045.2,298.15,30.59,29.36,38.29,298.15,,1,0.62,298.15,1.61,1.32,1.16,298.15,,102.6,100.1,298.15,119.7,102.6,100.2
20,298.15,9.01,9.4,8,298.15,23.62,18.2,11,bromoethane,108.965,298.15,1449.3,1528.5,1277.5,298.15,27.62,29.65,25.15,298.15,1.25,1.17,2.1,298.15,1.4,1.47,2.14,298.15,99.71,90.6,84.4,298.15,99.73,90.6,84.4
21,285.45,9.8,7.4,10.1,285.45,20.13,11.9,12,chloroethane,64.5139,285.45,908.44,893.2,878.1,285.45,24.85,23.67,24.28,285.45,,1.88,1.91,285.45,1.37,2.09,1.83,285.45,,82.8,83.1,285.45,102.8,82.8,83.1
22,293.15,25.8,18.7,23.2,298.15,38.48,38.48,,2-chloroethanol,80.5133,293.15,1201.9,1195.7,1230.1,293.15,46.02,48.65,55.03,293.15,,0.56,0.49,293.15,0.86,1,0.91,293.15,,120,117.6,293.15,109.03,120,117.6
23,358.15,67.87,32.8,,358.15,38.96,36.2,34.1,ethanamide,59.067,358.15,998.6,1018.7,1030.8,358.15,62.06,64.67,65.11,358.15,,0.46,0.48,358.15,0.9,0.79,0.87,358.15,,137.2,133,358.15,148.39,137.2,133
24,298.15,189,19.2,13.3,298.15,38.52,36.9,38.2,N-methylformamide,59.067,298.15,999.5,979.9,1046.9,298.15,56.25,49.85,56.76,298.15,0.56,0.46,0.41,298.15,0.88,0.99,0.85,298.15,123.78,119.4,115,298.15,123.8,119.4,115
25,298.15,28.29,18.9,20.8,298.15,32.13,26.4,39.1,nitroethane,75.0664,298.15,1044.1,1032.6,1096.3,298.15,40.24,41.08,55.23,298.15,0.79,0.71,0.41,298.15,1.14,1.16,1.08,298.15,138.48,127.5,131.7,298.15,138.5,127.5,131.7
26,240,6.88,8.8,7.8,298.08,11.8,6,8.3,methoxymethane,46.0682,240,742.08,741.4,773,240,21.72,30.87,24.12,240,,1.51,1.23,240,1.81,2.36,1.73,,,,,,,,
27,298.15,24.85,24.85,14.2,298.15,21.97,18.7,18.6,ethanol,46.0682,298.15,784.8,796.3,797.3,298.15,42.32,42.32,44.62,298.15,1.15,0.95,0.98,298.15,1.09,1.44,1.26,298.15,112.29,109,106.1,298.15,112.3,109,106.2
28,298.15,7.2,6.9,10.8,298.15,35.9,35.9,28.2,1*2-ethanedithiol,94.1988,298.15,1118.87,1156.2,1166.5,298.15,44.15,46.75,41.66,298.15,,0.5,0.74,298.15,1.14,,1.06,298.15,,144.4,133.5,298.15,,144.4,133.5
29,298.15,9.6,18.3,8.6,298.15,33.39,20.7,16.9,methyldisulfanylmethane,94.1988,298.15,1057.32,1030,1014.7,298.15,38.32,37.52,32.75,298.15,,1.01,1.28,298.15,1.1,1.4,1.6,298.15,,133.7,126.8,298.15,145.96,133.7,126.9
30,298.15,46.83,43.6,59.6,298.15,42.92,42.4,41.6,methylsulfinylmethane,78.1332,298.15,1095.8,1101.3,1136.2,298.15,52.89,55.62,57.5,298.15,0.52,0.41,0.41,298.15,0.91,1.03,0.74,298.15,153.08,131.9,132.4,298.15,153.1,132,132.4
31,298.15,6.45,9.8,6.8,298.15,24.06,17.6,10.6,methylsulfanylmethane,62.1338,298.15,841.9,837.1,801.9,298.15,27.65,29.65,23.88,298.15,,1.28,2.22,298.15,1.3,1.69,2.03,298.15,,105.6,96.3,298.15,118.1,105.7,96.3
32,293.15,32.1,48.9,,298.15,48.32,39.4,57.4,2-aminoethanol,61.0828,293.15,1018,1027.4,1132.7,293.15,64.03,55.17,82.46,293.15,0.38,0.45,0.22,293.15,0.77,0.96,0.59,293.15,,133.5,128,293.15,,133.5,128
33,298.15,13.52,22.8,14.2,298.15,41.12,32.5,45.2,ethane-1*2-diamine,60.098,298.15,889.1,981,1035.1,298.15,46.6,49.79,57.95,298.15,0.51,0.53,0.33,298.15,0.79,1.25,0.86,298.15,172.49,143.4,139.6,298.15,172.5,143.4,139.6
34,298.15,32.36,11.1,22.3,298.15,26.63,20.4,19.4,prop-2-enenitrile,53.0625,298.15,801.1,771.2,775.3,298.15,33.26,31.47,33.33,298.15,,1,1.33,298.15,1.42,1.3,1.7,298.15,,81.2,83.4,298.15,108.6,81.2,83.4
35,312.15,89.91,89.91,85.8,312.15,63.28,54.7,65.2,1*3-dioxolan-2-one,88.0619,312.15,1321.4,1320.7,1360.1,312.15,60.96,64.9,75.55,312.15,,0.32,0.26,312.15,0.75,0.72,0.84,312.15,,142.4,135.8,312.15,133.84,142.4,135.8
36,298.15,29.32,15,17.7,298.15,26.75,16.2,21.1,propanenitrile,55.0783,298.15,776.4,753.6,744.8,298.15,36.03,33.57,36.29,298.15,1.11,1.5,1.14,298.15,1.33,1.77,1.71,298.15,119.68,89.3,105,298.15,119.7,89.3,105
37,298.15,4.55,4.55,5.2,298.15,34.5,33.9,20.1,1*2-dibromopropane,201.888,298.15,1924.95,2096.8,1701.6,298.15,42.2,50.99,40.24,298.15,,0.52,0.96,298.15,0.8,1.04,1.11,298.15,,147,136.9,298.15,172.8,147,136.9
38,298.15,10.18,6.7,8.3,298.15,33.93,23.6,25.1,1*3-dichloropropane,112.985,298.15,1178.5,1169.2,1164.5,298.15,40.05,40.08,41.97,298.15,0.76,0.85,0.83,298.15,1,1.09,1.12,298.15,159.43,137,136.2,298.15,159.45,137.1,136.2
39,298.15,14.7,14.7,,298.15,13,13,14.7,(2R)-2-methyloxirane,58.0789,298.15,830,774.7,803.1,298.15,27.9,26.93,27.87,298.15,,1.7,1.47,298.15,1.93,,2,298.15,,111.6,103,298.15,,111.7,103
40,298.15,20.49,15.4,12,298.15,22.72,17.2,19.2,propan-2-one,58.0789,298.15,784.9,800.3,785.6,298.15,30.99,30.76,34.47,298.15,1.32,1.31,1.14,298.15,1.45,1.57,1.56,298.15,124.88,117.3,111.7,298.15,124.9,117.3,111.7
41,298.15,6.86,4.6,5,298.15,24.73,23.2,26.1,methyl^acetate,74.0783,298.15,928.3,945.6,967.6,298.15,32.29,36.34,41.2,298.15,1.14,0.83,0.69,298.15,1.42,1.34,1.16,298.15,143.88,135.9,133.3,298.15,143.9,135.9,133.4
42,298.15,6.98,3,3.3,298.15,32.61,26,37.6,1*3-dioxolane,74.0783,298.15,1064.4,1046.3,1116.5,298.15,35.6,36.22,43.18,298.15,0.76,0.77,0.47,298.15,1.18,1.45,0.95,293.15,,124.2,123.7,293.15,120.32,124.3,123.7
43,298.15,8.19,2.7,8.3,298.15,26.62,19.1,15.8,2-iodopropane,169.992,298.15,1737.25,1836.4,1599.4,298.15,34.2,33.85,33.71,298.15,,1.01,1.26,298.15,1.1,1.13,0.91,298.15,,125.7,123.5,298.15,139.72,125.7,123.6
44,298.15,8.05,7.8,7.2,298.15,25.26,19.4,14.5,1-bromopropane,122.991,298.15,1345.38,1408.6,1229.9,298.15,32.2,34.83,31.41,298.15,1.13,0.99,1.47,298.15,1.3,1.28,1.56,298.15,133.44,122.8,116.5,298.15,133.47,122.8,116.5
45,298.15,14.9,14.9,24.5,298.15,35.74,31.5,36.1,N*N-dimethylformamide,73.0935,298.15,943.3,922.2,984.2,298.15,47.57,46.08,52.57,298.15,0.64,0.58,0.48,298.15,1,1.21,0.71,298.15,148.28,148.8,142.9,298.15,148.3,148.9,142.9
46,320,14.2,14.2,10.4,320,31.26,33,31.1,N-methylacetamide,73.0935,320,920.52,952,968.4,320,58.32,55.12,59.68,320,,0.5,0.55,320,0.85,0.9,1.07,,,,,,,,
47,298.15,23.73,12.2,14.5,298.15,29.85,24,34.9,1-nitropropane,89.0929,298.15,995.4,989.7,1042.2,298.15,43.39,44.97,59.32,298.15,0.8,0.74,0.44,298.15,1.01,1.34,0.93,298.15,175.28,159.7,161.7,298.15,175.3,159.7,161.7
48,298.15,25.65,15,15.6,298.15,29.29,24.9,33.6,2-nitropropane,89.0929,298.15,983.3,995.6,1034.2,298.15,41.34,43.74,56.44,298.15,0.89,0.73,0.47,298.15,1.04,1.07,0.91,298.15,170.18,163.6,163.6,298.15,170.2,163.6,163.6
49,298.15,2.65,4.4,3.9,298.15,18.75,17.1,20.3,dimethoxymethane,76.0941,298.15,853.56,874.6,905,298.15,29.54,32.23,34.47,298.15,,1.18,1.02,298.15,1.5,1.57,1.5,298.15,,145.6,144.1,298.15,161.5,145.7,144.1
50,320,41.69,25.6,24.5,298.15,63,51.8,70.5,propane-1*2*3-triol,92.0935,293.15,1261.3,1259.7,1310.2,293.15,90.21,95.44,99.6,293.15,0.24,0.22,0.15,293.15,0.46,0.59,0.2,293.15,216.69,174.1,171.2,293.15,216.7,174.1,171.3
51,298.15,5.11,5.7,5.9,298.15,21.75,12.6,17.2,propan-1-amine,59.1099,298.15,711.47,726.3,757.3,298.15,30.98,33.08,38.36,298.15,1.21,1.55,1,298.15,1.4,2.03,1.5,298.15,162.77,138.9,138.4,298.15,162.79,139,138.5
52,298.15,5.47,5.47,5.5,298.15,17.36,13,17.9,propan-2-amine,59.1099,298.15,683.08,731.6,768.3,298.15,28.56,32.7,40.67,298.15,,1.5,0.95,298.15,1.6,1.82,1.4,298.15,,141.8,142.5,298.15,163.81,141.9,142.5
53,243.65,1.85,1,1.1,243.65,16.42,12.6,13,2-methylpropane,58.1218,243.65,613.53,643.5,631.3,243.65,22.35,24.61,25.03,243.65,,1.66,1.45,243.65,1.68,2.12,1.8,,,,,,,,
54,298.15,5.72,7.7,5.5,298.15,24.57,18.7,14.5,ethylsulfanylethane,90.1868,298.15,831.2,836.9,808.1,298.15,35.77,39.05,34.55,298.15,,1.06,1.34,298.15,1.45,1.39,1.6,298.15,,167.8,156.3,298.15,171.4,167.8,156.3
55,298.15,5.01,4.2,6,298.15,25.22,19.9,17.6,butane-1-thiol,90.1868,298.15,837,860.3,850.4,298.15,37.14,38.81,38.01,298.15,,0.95,1.1,298.15,1.2,1.07,1.61,298.15,,170.4,161.2,298.15,171.2,170.5,161.2
56,298.15,17.33,12.8,9.8,298.15,24.93,18.6,19.5,butan-1-ol,74.1212,298.15,805.7,805.3,815,298.15,52.35,51.39,60.08,298.15,0.94,0.88,0.77,298.15,0.93,1.18,0.91,298.15,176.99,174,168.1,298.15,177,174,168.1
57,298.15,9.3100576,7.06,5.17445,320,15.8,15.8,17.3,2-methylpropan-2-ol,74.1212,320,757.94,800.7,803.3,320,44.01,47.2,57.28,320,,1.08,1.03,320,1.24,,1.52,,,,,,,,
58,293.15,32.86,18,,298.15,45.47,45.6,48.4,butane-1*4-diol,90.1206,298.15,1012.6,1019,1046.7,298.15,76.6,81.43,87.23,298.15,0.44,0.34,0.32,298.15,0.65,0.6,0.82,298.15,202.19,195.4,185.1,298.15,202.2,195.5,185.1
59,288.15,32.81,16.3,,288.15,56.61,41.7,65.6,(2-hydroxyethoxy)ethan-2-ol,106.12,288.15,1119.7,1107.7,1202.3,288.15,83.13,78.15,103.66,288.15,,0.35,0.16,288.15,0.63,0.8,0.19,288.15,,210.7,197.6,288.15,256.39,210.7,197.6
60,298.15,3.58,4.6,4.5,298.15,19.85,12.6,15.8,N-ethylethanamine,73.1364,298.15,701.9,717,731.4,298.15,31.32,33.34,36.96,298.15,1.51,1.62,1.18,298.15,1.56,2.05,1.78,298.15,176.67,164.1,161.7,298.15,176.7,164.2,161.7
61,298.15,4.62,4.7,5.2,298.15,23.44,14.5,17.6,butan-1-amine,73.1364,298.15,736.6,747.2,773.8,298.15,35.74,38.53,45.83,298.15,1.14,1.28,0.9,298.15,1.35,1.69,1.25,298.15,187.97,172.8,170.5,298.15,188,172.8,170.5
62,298.15,4.01,3.8,3.4,298.15,16.87,15.3,17.1,2-methylpropan-2-amine,73.1364,298.15,690.07,761.2,776.6,298.15,28.8,36.68,45.68,298.15,,1.25,0.93,298.15,1.4,1.73,1.56,298.15,,181.9,180,298.15,192.1,182,180.1
63,293.15,22.9486,14.2,5.35,320,50.6,45.7,49.4,2-(2-hydroxyethylamino)ethanol,105.135,320,1079.23,1080.4,1157,320,83.64,88.94,110.71,320,,0.37,0.23,320,0.61,0.76,0.63,,,,,,,,
64,298.15,8.8,8.8,8.6,298.15,30.33,41.7,41.1,pyrimidine,80.0878,298.15,1016.4,1094.5,1116,298.15,49.81,49.33,50.47,298.15,,0.44,0.41,298.15,0.89,1.04,1.14,298.15,,124.6,120.8,298.15,133.7,124.6,120.9
65,298.15,2.94,1.5,1.5,298.15,22.65,19.6,18.7,furan,68.0738,298.15,931.3,958.2,966,298.15,27.46,29.81,30.33,298.15,,1.04,1.01,298.15,0.73,1.56,1.51,298.15,,99.3,97.3,298.15,114.8,99.3,97.3
66,298.15,2.73,2.6,,298.15,30.68,29.4,19.5,thiophene,84.1394,298.15,1059.01,1087.6,1050,298.15,34.65,39.15,32.72,298.15,,0.62,0.96,298.15,1.1,1.01,1.4,298.15,,110.3,104.4,298.15,123.98,110.3,104.4
67,298.15,7.92,4,4.2,298.15,36.95,28.9,29.9,1H-pyrrole,67.089,298.15,965.3,985.6,1015.1,298.15,45.15,44.14,52.51,298.15,0.65,0.6,0.51,298.15,0.87,1.05,0.81,298.15,128.19,116.2,113.8,298.15,128.2,116.2,113.9
68,298.15,4.1,4.1,3.3,298.15,22.03,27.4,24,ethenyl^acetate,86.089,298.15,925.6,970.2,979,298.15,34.58,44.07,43.4,298.15,,0.67,0.78,298.15,1.3,1.04,1.41,298.15,,150.8,144.2,298.15,171.47,150.9,144.3
69,293.15,39,30.2,,298.15,44.6,30,,oxolan-2-one,86.089,293.15,1129.6,1105.9,1142.7,293.15,52.84,53.12,64.6,293.15,,0.42,0.34,293.15,0.74,0.69,0.8,293.15,,147.3,140.5,293.15,139.96,147.3,140.5
70,293.15,22.45,8.9,12.5,298.15,32,32,,acetyl^acetate,102.088,293.15,1082,1122.7,1131.1,293.15,47.32,61.27,68.65,293.15,,0.36,0.39,293.15,1.15,0.85,0.83,293.15,,179.8,172,293.15,189.13,179.8,172
71,298.15,9.51,8.4,8.6,298.15,35.42,25.4,26.3,1*4-dichlorobutane,127.012,298.15,1133.1,1128.1,1125.3,298.15,46,46.92,48.84,298.15,0.69,0.8,0.71,298.15,1,1.1,0.92,298.15,189.2,169.3,167.2,298.15,189.23,169.3,167.3
72,298.15,8.04,5.7,,298.15,26.65,17.7,24.4,oxolane,72.1054,298.15,883.7,858.8,893.8,298.15,31.8,32.14,37.14,298.15,0.95,1.1,0.76,298.15,1.29,1.83,1.32,298.15,123.87,134.8,131.6,298.15,123.9,134.8,131.6
